Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.3737741616736,98.4282597493425,98.5017492013514,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Africa Eastern and Southern,AFE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28439282036259783,0.6936440664132775,1.1028953124639571,1.5121465585146368,1.9213978045653164,2.330649050615996,2.7399002966666757,3.1491515427173553,3.558402788768035,3.9676540348187146,4.376905280869394,4.786156526920074,5.1954077729707535,5.604659019021433,6.013910265072113,6.423161511122792,6.832412757173472,7.241664003224152,7.650915249274831,8.060166495325511,8.46941774137619,8.87866898742687,9.28792023347755,9.69717147952823,10.9191631310557,10.3856959911963,12.4237103722527,12.4314124748954,12.8889669527945,15.3410019509463,14.5771747974348,16.2227942492605,19.4025915257459,18.6635016376268,17.6339864137494,16.4646807920084,24.5314360859943,25.3451111513968,27.449907671217,29.641760454315,30.4049349446892
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24060392379761,11.1138515472412,15.7653656005859,22.0606784820557,27.9542503356934,34.7457847595215,30.2187995910645,29.5728797912598,60.8491554260254,60.5661354064941,86.5005111694336,64.573356628418,97.0993576049805,97.0919723510742,95.5861740112305,97.0756301879883,97.0667114257813
Africa Western and Central,AFW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.9943652235123963,2.3023132439261964,2.6102612643399965,2.9182092847537966,3.2261573051675967,3.534105325581397,3.842053345995197,4.150001366408997,4.457949386822797,4.765897407236597,5.073845427650397,5.381793448064197,5.689741468477997,5.9976894888917975,6.305637509305598,6.613585529719398,6.921533550133198,7.229481570546998,7.537429590960798,7.845377611374598,8.153325631788398,8.461273652202198,8.769221672615998,9.077169693029798,9.385117713443599,9.693065733857399,10.001013754271199,10.308961774684999,10.616909795098799,10.924857815512599,11.2328058359264,11.5407538563402,11.848701876754,12.1566498971678,12.4645979175816,12.8617673653824,12.7234761439132,15.0914758808784,14.2939527212404,17.9805811418915,16.5299416675341,16.0853573642478,15.7748366029401,21.4445235947451,16.7431092032525,17.6032695036374,17.8572979993979,17.739414209312,19.5179474609382,18.7720675415756,20.5337650619679,22.3382509050753,19.822073572939,23.2940777859074,22.5498249303203,22.7805919695114,27.3802199490347,26.90186373891235,26.423507528789997,25.945151318667648,25.4667951085453
Angola,AGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53605127334595,9.47707653045654,2.9212751388549805,2.46178197860718,1.88592076301575,1.18811726570129,0.846492826938629,3.7279405891895294,6.60938835144043,6.210199526378087,5.811010701315744,5.411821876253401,5.012633051191059,4.613444226128715,4.214255401066373,3.81506657600403,4.98785940806071,6.16065224011739,7.33344507217407,8.50623790423075,9.67903073628743
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Arab World,ARB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.5364735689799858,2.62056857983859,4.704663590697194,6.788758601555799,8.872853612414403,10.956948623273007,13.041043634131611,15.125138644990216,17.20923365584882,19.293328666707424,21.37742367756603,23.461518688424633,25.545613699283237,27.62970871014184,29.713803721000446,31.79789873185905,33.881993742717654,35.96608875357626,38.05018376443486,40.13427877529347,42.21837378615207,44.302468797010675,46.38656380786928,48.470658818727884,50.55475382958649,52.63884884044509,54.7229438513037,56.8070388621623,57.8726050466716,57.4477251330621,59.7314720423886,60.5407426026899,61.9355692051976,62.8871985355651,68.1738083269346,70.4674396045023,70.0289956475589,71.8286434969462,68.2049624805125,69.6266691779121,73.452508801865,69.8353463747347,69.6231362063006,70.6285668793867,75.4140975393657,75.5598155825924,75.3770220882081,79.5826215366143,77.6661574656659,78.9515923942286,79.7916653755411,82.373065558642,82.9707537126568,83.7405000180715,81.6608986675958
United Arab Emirates,ARE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,68.10410887558976,68.46379152374115,68.82347417189254,69.18315682004393,69.54283946819533,69.90252211634672,70.26220476449811,70.6218874126495,70.98157006080089,71.34125270895228,71.70093535710367,72.06061800525507,72.42030065340646,72.77998330155785,73.13966594970924,73.49934859786063,73.85903124601202,74.21871389416341,74.5783965423148,74.9380791904662,75.29776183861759,75.65744448676898,76.01712713492037,76.37680978307176,76.73649243122316,77.09617507937455,77.45585772752594,77.81554037567733,78.17522302382872,78.53490567198011,78.8945883201315,79.2542709682829,79.7786350872369,80.3337006585459,80.9358863354632,81.608093422829,82.3698768370974,83.247062020095,84.2638406906497,85.4318646348945,90.1027221679688,86.0806427001953,91.3668823242188,91.8974227905273,92.3015747070313,92.5335083007813,92.5624923706055,92.4385299682617,92.2349166870117,92.0323944091797,96.125373840332,95.8507995605469,94.6899337768555,94.6871871948242,100.0,97.0914993286133,98.8367691040039,100.0,99.8718109130859,100.0,100.0
