Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.1536560058594,99.1971282958984,99.2399139404297,100.0,100.0,100.0,100.0,100.0,100.0,91.660400390625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.3562927246094,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.23984552011929,16.32913145833499,16.418417396550694,16.507703334766397,16.5969892729821,16.686275211197803,16.775561149413505,16.864847087629208,16.95413302584491,17.043418964060614,17.132704902276316,17.22199084049202,17.31127677870772,17.400562716923424,17.489848655139127,17.57913459335483,17.668420531570533,17.757706469786235,17.846992408001938,17.93627834621764,18.025564284433344,18.114850222649046,18.20413616086475,18.293422099080452,18.382708037296155,18.471993975511857,18.56127991372756,18.650565851943263,18.739851790158966,18.82913772837467,18.91842366659037,19.007709604806074,19.096995543021777,19.18628148123748,19.275567419453182,19.364853357668885,19.454139295884588,19.54342523410029,19.632711172315993,19.721997110531696,19.8112830487474,19.9005689869631,21.5258119502625,22.474309042094,23.7819183655274,23.4874149559786,24.7635379213968,26.7665177602956,25.9341794754403,26.1815567981524,27.5571371356059,29.0898268292514,31.8443844038242,31.794159992766,32.001026781227,33.8719104646129,38.8801732244203,40.261357595893,43.061876950924,44.2708604789338,45.8034852293868
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61359095573425,4.07457399368286,9.40915775299072,14.7385063171387,20.0649681091309,25.3908939361572,30.7186908721924,36.0510101318359,42.4000015258789,46.7400512695313,42.7000007629395,43.2220191955566,69.0999984741211,68.2906494140625,89.5,71.5,97.6999969482422,97.6999969482422,96.6161346435547,97.6999969482422,97.6999969482422
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.0,0.0,0.022240044106709433,1.043880596860106,2.0655211496135024,3.087161702366899,4.108802255120295,5.130442807873692,6.152083360627088,7.173723913380485,8.195364466133881,9.217005018887278,10.238645571640674,11.26028612439407,12.281926677147467,13.303567229900864,14.32520778265426,15.346848335407657,16.368488888161053,17.39012944091445,18.411769993667846,19.433410546421243,20.45505109917464,21.476691651928036,22.498332204681432,23.51997275743483,24.541613310188225,25.56325386294162,26.584894415695018,27.606534968448415,28.62817552120181,29.649816073955208,30.671456626708604,31.693097179462,32.7147377322154,33.7036843102083,32.7481580577382,32.5525403604148,33.5426904565568,34.8994774694566,34.1506868375937,35.2664611200848,35.7619670291462,39.8762372875298,37.5459599039409,37.8470361622623,39.8365592945576,40.7887788535868,41.7446576260947,41.8168606925896,41.7998579561914,45.9114739780796,44.1679733535959,47.0483161636866,47.5993227916858,46.7662943639277,50.9534866843105,48.8611912179155,51.2597116422012,51.2901929896648,52.1116010037919
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.82938766479538,91.61664390564007,87.40390014648477,83.19115638732947,78.97841262817418,74.76566886901888,70.55292510986358,66.34018135070828,62.12743759155299,57.91469383239769,53.70195007324239,49.489206314087085,45.27646255493179,41.063718795776495,36.85097503662119,32.63823127746589,28.425487518310597,24.2127437591553,20.0,26.3521175384521,27.4127769470215,28.4705505371094,29.5277862548828,30.5868949890137,37.5,38.4900016784668,33.802188873291,34.895637512207,34.5999984741211,37.1313209533691,38.2780303955078,32.0,42.0,41.8131294250488,43.0132598876953,45.2900009155273,45.6427993774414,46.8906097412109
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9000015258789,100.0,99.9499969482422,99.9800033569336,99.8899993896484,99.8899993896484,100.0,100.0,100.0
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.47936886841384,54.121916227045745,54.764463585677646,55.40701094430955,56.04955830294145,56.69210566157335,57.33465302020525,57.97720037883715,58.619747737469055,59.26229509610096,59.90484245473286,60.54738981336476,61.18993717199666,61.83248453062856,62.475031889260464,63.117579247892365,63.76012660652427,64.40267396515617,65.04522132378807,65.68776868241997,66.33031604105187,66.97286339968377,67.61541075831568,68.25795811694758,68.90050547557948,69.54305283421138,70.18560019284328,70.82814755147518,71.47069491010708,72.11324226873899,72.75578962737089,73.39833698600279,74.04088434463469,74.68343170326659,75.3259790618985,75.9685264205304,76.6110737791623,77.2536211377942,78.1115759676919,78.6910612811744,80.7361412102573,81.5862313733706,81.5402220305207,82.5081594773798,82.5036847543415,83.212981627025,85.4590032669433,83.7644399861418,83.3869896540748,84.3134837956566,87.114862814597,87.3326612400273,87.0395883900211,88.992619805618,88.0153561759997,88.681885670696,89.195062354407,90.3246594905463,88.9107494038454,89.9999455504114,90.2777350826821
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,82.03318786621226,82.37057495117315,82.70796203613405,83.04534912109494,83.38273620605584,83.72012329101673,84.05751037597763,84.39489746093852,84.73228454589942,85.06967163086031,85.40705871582121,85.7444458007821,86.081832885743,86.41921997070389,86.75660705566479,87.09399414062568,87.43138122558658,87.76876831054747,88.10615539550837,88.44354248046926,88.78092956543016,89.11831665039105,89.45570373535195,89.79309082031284,90.13047790527374,90.46786499023463,90.80525207519553,91.14263916015642,91.48002624511732,91.81741333007821,92.1548004150391,92.4921875,92.8294525146484,93.1660461425781,93.5012741088867,93.8344650268555,94.1649398803711,94.4920120239258,94.8150024414063,95.1331558227539,95.7832870483398,95.5110626220703,96.2288665771484,96.4426345825195,96.6535034179688,96.8638458251953,97.076057434082,97.2927932739258,97.5167541503906,97.7506561279297,98.8199996948242,99.0953521728516,99.22998046875,99.3426742553711,100.0,99.6253890991211,99.8495788574219,100.0,99.9895782470703,100.0,100.0
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.900062561035156,56.00006103515625,57.100059509277344,58.20005798339844,59.30005645751953,60.400054931640625,61.50005340576172,62.60005187988281,63.700050354003906,64.800048828125,65.9000473022461,67.00004577636719,68.10004425048828,69.20004272460938,70.30004119873047,71.40003967285156,72.50003814697266,73.60003662109375,74.70003509521484,75.80003356933594,76.90003204345703,78.00003051757812,79.10002899169922,80.20002746582031,81.3000259399414,82.4000244140625,83.5000228881836,84.60002136230469,85.70001983642578,86.80001831054688,87.90001678466797,89.00001525878906,90.10001373291016,91.20001220703125,92.30001068115234,93.40000915527344,94.50000762939453,95.60000610351562,96.70000457763672,97.80000305175781,98.9000015258789,100.0,98.0,99.1901321411133,99.1892318725586,99.8000030517578,99.188232421875,99.1931838989258,99.2053756713867,99.2275009155273,99.8000030517578,99.6057968139648,99.6289672851563,99.4199981689453,99.7099990844727,100.0,99.8000030517578,99.6999969482422,99.9000015258789,100.0,100.0
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.43490600585805,90.61251068115106,90.79011535644408,90.96772003173709,91.1453247070301,91.32292938232311,91.50053405761612,91.67813873290913,91.85574340820214,92.03334808349516,92.21095275878817,92.38855743408118,92.56616210937419,92.7437667846672,92.92137145996021,93.09897613525322,93.27658081054624,93.45418548583925,93.63179016113226,93.80939483642527,93.98699951171828,94.16460418701129,94.3422088623043,94.51981353759732,94.69741821289033,94.87502288818334,95.05262756347635,95.23023223876936,95.40783691406237,95.58544158935538,95.7630462646484,95.9406509399414,96.1181335449219,96.2949447631836,96.4703903198242,96.643798828125,96.8144836425781,96.9817733764648,97.1449813842773,97.303352355957,97.6892623901367,97.7852554321289,100.0,97.9568252563477,98.0371017456055,92.1999969482422,100.0,100.0,100.0,98.4812774658203,98.5972366333008,94.5520172119141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
