Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9241333007813,99.966064453125,99.9903564453125,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Africa Eastern and Southern,AFE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,70.08206446742946,69.66909275240806,69.25612103738666,68.84314932236526,68.43017760734386,68.01720589232247,67.60423417730107,67.19126246227967,66.77829074725827,66.36531903223687,65.95234731721547,65.53937560219407,65.12640388717267,64.71343217215127,64.30046045712987,63.88748874210848,63.47451702708708,63.06154531206568,62.64857359704428,62.235601882022884,61.822630167001485,61.409658451980086,60.99668673695869,60.58371502193729,60.17074330691589,59.75777159189449,59.34479987687309,58.93182816185169,58.51885644683029,58.10588473180889,57.69291301678749,57.279941301766094,56.866969586744695,56.453997871723296,56.041026156701896,55.6280544416805,55.2150827266591,54.8021110116377,54.3891392966163,53.9761675815949,53.5631958665735,53.1502241515521,55.300428596703,56.2533540580982,57.02329381506,58.1189477258276,58.6849831297985,60.8519315406308,59.0040075810343,61.3567009309608,63.246747297561,66.1639979918476,66.9452771502516,67.1122062807782,66.2834263727233,67.0802345160891,69.1322924194883,70.9285671571016,71.8661360685467,73.3328420364472,73.9429490467264
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,13.510726928709815,14.976295471190312,16.44186401367081,17.907432556151306,19.373001098631804,20.8385696411123,22.304138183592798,23.769706726073295,25.235275268553792,26.70084381103429,28.166412353514787,29.631980895995284,31.09754943847578,32.56311798095628,34.028686523436775,35.49425506591727,36.95982360839777,38.42539215087827,39.890960693358764,41.35652923583926,42.82209777831976,44.287666320800255,45.75323486328075,47.21880340576125,48.68437194824175,50.149940490722244,51.61550903320274,53.08107757568324,54.546646118163736,56.01221466064423,57.47778320312473,58.94335174560523,60.408920288085724,61.87448883056622,63.34005737304672,64.80562591552722,66.27119445800771,67.73676300048821,69.20233154296871,70.6679000854492,72.1334686279297,73.5990371704102,75.0632781982422,76.5331344604492,78.0155563354492,74.0,81.0437698364258,82.5908203125,89.9000015258789,85.7244720458984,82.8000030517578,86.5677795410156,95.0,92.2590484619141,98.6999969482422,92.5,99.5,99.5,99.6260223388672,99.5,99.5
Africa Western and Central,AFW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,75.25365434567126,75.28778270797717,75.32191107028308,75.35603943258899,75.3901677948949,75.4242961572008,75.4584245195067,75.49255288181261,75.52668124411852,75.56080960642443,75.59493796873033,75.62906633103624,75.66319469334215,75.69732305564806,75.73145141795396,75.76557978025987,75.79970814256578,75.83383650487168,75.86796486717759,75.9020932294835,75.9362215917894,75.97034995409531,76.00447831640122,76.03860667870713,76.07273504101303,76.10686340331894,76.14099176562485,76.17512012793075,76.20924849023666,76.24337685254257,76.27750521484847,76.31163357715438,76.34576193946029,76.3798903017662,76.4140186640721,76.2217529588441,73.1951617309708,72.5633584147351,73.1877238755088,72.9165989950449,71.5441277137618,72.2926313152151,72.2865548248067,73.2778408988392,73.2440327139172,73.93656190318,74.5985085976342,76.1895725657689,75.6117025293371,75.4412937624052,74.2651396592585,79.3852167005569,78.6990973259095,78.8486136952441,79.52923504769,78.2478757011491,81.5715174202803,81.98365429909848,82.39579117791665,82.80792805673482,83.220064935553
Angola,AGO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.2704162597656,74.45281219482419,59.6352081298828,44.8176040649414,30.0,47.5846290588379,48.9730987548828,50.3741302490234,51.7946701049805,53.2395629882813,66.0999984741211,61.310001373291,57.6760940551758,73.7185668945313,82.5,70.4634704589844,68.662223815918,51.0,64.0,67.9733963012695,69.4111709594727,65.2699966430664,72.2771835327148,73.7089157104492
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9000015258789,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Andorra,AND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Arab World,ARB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.65293172448223,99.12061733232223,98.58830294016222,98.05598854800222,97.52367415584222,96.99135976368221,96.45904537152221,95.9267309793622,95.3944165872022,94.8621021950422,94.3297878028822,94.3291079012208,94.5127859594816,94.6158445404794,94.5692730315726,95.3359193295876,95.0925105180211,94.3875870378325,95.0616572591792,96.8708279397475,96.999401879534,96.9800791858605,97.2390570202181,96.8561009554453,97.0213129527158,97.2617989667955,97.4836583550061,97.581236908265,98.2782869522888,97.5403970169547
United Arab Emirates,ARE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.9159774780282,86.19007873535239,86.46417999267658,86.73828125000077,87.01238250732496,87.28648376464915,87.56058502197334,87.83468627929753,88.10878753662172,88.38288879394591,88.6569900512701,88.93109130859429,89.20519256591848,89.47929382324267,89.75339508056686,90.02749633789105,90.30159759521524,90.57569885253943,90.84980010986362,91.12390136718781,91.398002624512,91.6721038818362,91.94620513916038,92.22030639648457,92.49440765380876,92.76850891113295,93.04261016845714,93.31671142578134,93.59081268310553,93.86491394042972,94.1390151977539,94.4131164550781,94.6866989135742,94.9571228027344,95.2212295532227,95.4758529663086,95.7178421020508,95.9440383911133,96.1512680053711,96.3380737304688,96.475212097168,96.6375961303711,96.7986602783203,96.9653396606445,97.1445846557617,97.3433380126953,97.5664443969727,97.8103103637695,98.0692672729492,98.3376083374023,99.091423034668,99.416633605957,99.6723709106445,99.7891464233398,100.0,99.8606872558594,99.9421310424805,100.0,100.0,100.0,100.0
