Country Code,Years,"Access to electricity, rural (% of rural population)",Access to electricity (% of population),"Access to electricity, urban (% of urban population)",Electric power transmission and distribution losses (% of output),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (kWh)"
ABW,1960,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1961,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1962,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1963,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1964,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1965,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1966,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1967,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1968,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1969,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1970,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1971,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1972,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1973,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1974,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1975,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1976,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1977,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1978,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1979,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1980,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1981,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1982,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1983,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1984,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1985,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1986,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1987,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1988,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1989,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1990,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1991,98.3737741616736,99.1536560058594,99.9241333007813,0.0,0.0,0.0,0.0
ABW,1992,98.4282597493425,99.1971282958984,99.966064453125,0.0,0.0,0.0,0.0
ABW,1993,98.5017492013514,99.2399139404297,99.9903564453125,0.0,0.0,0.0,0.0
ABW,1994,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1995,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1996,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1997,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1998,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,1999,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,2000,100.0,91.660400390625,100.0,0.0,0.0,0.0,0.0
ABW,2001,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,2002,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,2003,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,2004,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,2005,100.0,100.0,100.0,0.0,0.0,0.0,0.0
ABW,2006,100.0,100.0,100.0,0.0,0.0,0.0,0.0
